ts	phase	decision	why	evidence	result
2026-08-21T20:57:19Z	setup	started decision trail for pre-Phase-0 validation (code-review + blast-radius + Phase-0 spike)	user asked to try 4 skills before Phase 0; trail makes the run auditable	skill: show-me-your-work (loaded)	open
2026-08-21T21:00:38Z	code-review	ran two-axis review of 06d205c..HEAD (standards=AGENTS.md, spec=Phase-1 checklist)	user asked to shape/fix before Phase 0; parallel subagents keep axes separate	.audit review outputs (in transcript); diff 06d205c...HEAD	2 hard + 4 judgement findings (standards); 2 partial + 4 creep + 2 questionable (spec)
2026-08-21T21:00:38Z	code-review	HARD FINDING: webmcp/config.json still has sse transports block (webmcp.py/webmcp_streamable.py don't exist)	audit grep missed it (refs webmcp.py not *_sse.py); contradicts new AGENTS.md transport rule	tools/webmcp/config.json transports block	open
2026-08-21T21:03:52Z	code-review	fixed all review findings: webmcp config sse block, launcher startup guard, test coverage gap, 10 stale doc refs	hard violation + coverage gap were cheap to close before Phase 0; docs undercut the Phase -1 premise	commit b41e449; pytest 538 passed; MCP_TRANSPORT=sse launcher run raises before servers start	fixed
2026-08-21T21:05:35Z	blast-radius	one safety fact proven live: config.json writes only touch the auth key and nothing reads transports	the scariest edge was machine sync clobbering hand-edited transports blocks; live PUT via running mgmt server diffed cosmetic-only	management_server.py:554-562; PUT /api/tools/simplemcp/auth diff; grep zero transports readers; opencode.json+setup script use /mcp only	proven (step 5: reproduced in running app)
2026-08-21T21:05:35Z	blast-radius	cleared: client configs (/mcp only), sync writes central tools_config.json, mcp_ui start/stop/restart only, CLI sse rejected by argparse + startup guard	each checked against source; searches that find nothing are the answer	launcher/sync_tools_config.py docstring; mcp_ui audit; MCP_TRANSPORT=sse launcher run (ValueError)	cleared
2026-08-21T22:01:48Z	phase0-spike	ran Phase 0 spike in throwaway venv: all 9 plan questions answered YES (Q9 needs normalizer)	user wanted skills applied before Phase 0; spike was the plan's own gate and beta waited a week	plans/mcp-2026-07-28-phase0-verdict.md; live matrix: Bearer 200 / X-API-Key-only 401 -> with normalizer 200 + tool round-trip; _server_instances len=1 live	verdict complete
2026-08-21T22:01:48Z	phase0-spike	KEY FINDING: 4.0b3 RequireAuthMiddleware gates on Authorization-header presence; X-API-Key-only 401 even when authenticated	found by differential header matrix; would have silently broken VS Code Copilot clients at port time	spike header matrix + spike_final.py normalizer validation	validated workaround: outermost api_key_fallback middleware
2026-08-21T22:01:48Z	closure	committed verdict + plan pointers (Phase 0 step marked done); trail closed	all 4 skills ran to completion; branch now a411947+b8d1ede+b41e449+verdict	git log chore/remove-sse	closed
2026-08-21T22:05:00Z	review-audit	supersede 'fixed all findings': b41e449 fixed 4 categories; ~10 judgement/creep findings consciously NOT fixed (pre-existing __main__ duplication, one-choice --transport flag, dead transports data, SKILL args-table duplication, plan-doc + test-count edits in diff)	smell findings are judgement calls; repo conventions document the duplicated entry points; fixing them exceeds Phase -1 scope	code-review subagent outputs; b41e449 diff	accepted-as-is, recorded here
2026-08-21T22:05:00Z	review-audit	clarify closure row: trail is intentionally local-only (.audit untracked) per skill default; branch list = repo commits	skill says commit only when a reviewer needs the trail in-PR; this run's reviewer reads the file directly	show-me-your-work skill 'Where it lives'	clarified
2026-08-21T22:05:00Z	review-audit	fresh-eyes review (GLM-5.3-family subagent) passed 8 flags; fixed 5 in artifacts (verdict snippets + Q6 caveat, Phase-2 route check, dispositions, path fix) — flags 4/8 remain as accepted-unverifiable-notes	cross-model review unavailable in this harness; same-family subagent used, disclosed	.audit trail rows this + prior; commit b9a2bf9	addressed
